County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
GRAYSON,8209368.0,8571681.0,8308619.0,8671459.0,10009555.0,9462382.0,9174993.0,8774959.0,8272959.0,6872767.0,6071251.0,7270914.0,7186534.0,7829477.0,8029617.0,5954949.0
GREGG,164160934.0,167664934.0,176584958.0,180541836.0,189995297.0,179750614.0,131274491.0,135130310.0,144608813.0,136847384.0,115397943.0,110563760.0,117915333.0,122577928.0,132842152.0,102724060.0
GRIMES,1543902.0,1788553.0,2387214.0,4336957.0,4692439.0,5079409.0,3510757.0,2730570.0,2424814.0,3091817.0,3048955.0,2164961.0,1883338.0,3185277.0,3845292.0,2329625.0
GUADALUPE,344711781.0,343031878.0,350368255.0,342376960.0,326140893.0,309609052.0,289249812.0,282241157.0,278957140.0,272418959.0,249912791.0,243027309.0,260732814.0,260595080.0,269845747.0,203134386.0
HALE,24675432.0,26284585.0,24467794.0,27608334.0,28428994.0,26509550.0,24865158.0,27316248.0,26760107.0,21845051.0,18032655.0,24884520.0,23077115.0,21639752.0,21395786.0,15077170.0
HALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAMILTON,40018.0,41288.0,32810.0,32796.0,13210.0,3680.0,3694.0,3705.0,2132.0,1284.0,1327.0,1330.0,1324.0,448.0,0.0,0.0
HANSFORD,2315604.0,2599311.0,2267873.0,2105265.0,2312294.0,1681768.0,2360194.0,2466589.0,3439428.0,3998345.0,2473865.0,1155949.0,1292821.0,1018198.0,933240.0,584041.0
HARDEMAN,3388752.0,3899437.0,4028594.0,4202664.0,4081805.0,4250506.0,3977647.0,4019640.0,3835593.0,4072444.0,2811424.0,3299269.0,3284159.0,2990154.0,2251072.0,1737525.0
HARDIN,18767786.0,20417352.0,16549663.0,15366599.0,18519986.0,17844092.0,17426113.0,15632763.0,15656173.0,16431598.0,14651862.0,13397533.0,15242363.0,14163599.0,14965445.0,10033356.0
HARRIS,37486572.0,34691176.0,39279325.0,42633529.0,43992707.0,47301423.0,48500882.0,46079722.0,41022519.0,46991380.0,43349212.0,38289509.0,45842445.0,48322812.0,42977435.0,33157311.0
HARRISON,24020937.0,23436093.0,22688333.0,20192042.0,20705729.0,17649724.0,14160436.0,13821529.0,12748232.0,13136156.0,20435741.0,24205002.0,40143778.0,44121568.0,45769707.0,35462892.0
